applications,reason,Loan_Amount,FICO_SCORE,fico_score_group,Employment_Status,Employment_Sector,Monthly_Gross_Income,Monthly_Housing_Payment,Ever_Bankrupt_or_Foreclose,Lender,Approved
1,1,100000,669,2,3,1,5024,927,0,2,0
1,2,70000,594,2,3,8,5764,1177,0,2,0
1,4,10000,596,2,3,8,4017,1487,0,1,0
1,4,100000,642,2,2,4,3129,904,0,1,0
1,5,30000,642,2,3,4,4220,1620,0,1,0
1,6,30000,565,1,3,3,8061,658,0,3,0
1,6,80000,691,3,3,1,5103,1289,0,1,1
1,3,70000,715,3,3,9,7405,1985,0,2,0
1,5,40000,634,2,3,11,4394,891,0,1,0
1,3,90000,661,2,2,4,2175,626,0,1,0
1,4,40000,793,4,3,8,10292,952,0,1,0
1,1,80000,602,2,3,10,5011,1260,0,1,0
1,5,20000,687,3,3,8,8260,1492,0,1,0
1,3,20000,589,2,3,0,4161,2043,0,1,0
1,3,20000,715,3,3,6,9525,659,0,1,0
1,5,80000,638,2,3,6,5481,1343,0,1,0
1,6,20000,693,3,3,11,5677,881,0,3,0
1,5,5000,561,1,3,4,4794,1710,0,1,0
1,3,80000,669,2,3,2,4396,546,0,3,0
1,2,10000,682,3,3,7,7523,2372,0,2,0
1,6,20000,605,2,3,9,3143,2326,0,2,0
1,6,10000,721,3,3,6,5712,2495,0,2,0
1,1,10000,721,3,3,5,8592,870,0,3,0
1,4,70000,540,1,3,2,5287,2062,0,2,0
1,3,90000,522,1,3,9,4679,2100,0,1,0
1,1,30000,584,2,3,7,2595,1961,0,1,0
1,2,100000,693,3,3,10,7345,450,0,1,0
1,4,50000,670,2,3,7,9865,2064,0,1,0
1,1,30000,518,1,3,7,3998,2222,0,1,0
1,5,10000,596,2,2,2,2358,1286,0,1,0
1,6,90000,477,1,3,5,8842,2218,0,1,0
1,3,50000,718,3,3,8,7841,2621,0,2,0
1,2,40000,550,1,3,6,14469,2285,0,1,0
1,5,5000,495,1,3,6,3726,2914,0,1,0
1,3,10000,755,4,3,10,12198,1636,0,3,0
1,4,80000,609,2,3,6,4239,2443,0,2,0
1,3,50000,714,3,3,4,10634,758,0,1,0
1,3,20000,648,2,3,11,5033,2657,0,3,0
1,3,60000,634,2,2,9,2711,1196,0,1,0
1,1,90000,598,2,3,6,9387,2657,0,1,0
1,6,80000,554,1,3,6,4411,2387,0,1,0
1,2,90000,779,4,3,6,10710,1840,0,1,1
1,2,100000,785,4,3,2,14290,1868,0,1,1
1,5,50000,720,3,2,8,2539,2979,0,2,0
1,3,90000,600,2,3,5,5126,1231,0,2,0
1,6,30000,708,3,3,7,7783,1525,0,1,1
1,2,90000,558,1,3,5,8802,1898,0,1,0
1,6,40000,627,2,3,7,6987,1164,0,1,0
1,2,50000,693,3,1,12,2810,1657,0,2,0
1,1,90000,508,1,3,8,8661,1544,0,1,0
1,3,10000,736,3,3,0,10895,1542,0,1,0
1,2,30000,667,2,3,2,5097,1971,0,1,0
1,5,20000,588,2,3,7,6197,2374,0,1,0
1,5,40000,485,1,2,2,2539,409,0,1,0
1,2,30000,718,3,2,4,3027,1469,0,1,0
1,5,80000,664,2,3,6,6017,1884,0,1,0
1,1,30000,646,2,3,6,4568,1962,0,1,0
1,3,20000,629,2,3,8,5084,2549,0,2,0
1,3,50000,634,2,3,6,6252,1713,1,1,0
1,6,10000,691,3,1,0,2695,1282,0,2,0
